,predicted_regime,regime_probabilities,confidence_metrics,sector_movements
Bull Market,BEAR MARKET,23.427128023967523,,
Bear Market,BEAR MARKET,59.38912146821338,,
Transition,BEAR MARKET,17.18375050781911,,
model_confidence,BEAR MARKET,,22.184480249408594,
transition_probability,BEAR MARKET,,85.0,
geometric_confidence,BEAR MARKET,,59.36554788047444,
AAPL,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 103.39861953261743, 'confidence': 0.37416000744650224}"
GME,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 99.08548365725842, 'confidence': 0.4002344178433921}"
GOOGL,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 29.181565292041316, 'confidence': 0.41313551581577074}"
MSFT,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 11.199534977917626, 'confidence': 0.5293709644149995}"
NFLX,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 16.26715385357561, 'confidence': 0.4956969826900556}"
NVDA,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 13.567589508300308, 'confidence': 0.5485788946157868}"
TSLA,BEAR MARKET,,,"{'direction': 'down', 'magnitude': 22.045682938495933, 'confidence': 0.3337922240187249}"
